questions,answer
 007+74,747 
   83+2,40  
089+392,1273
  02+23,52  
  62+19,117 
366+043,1003
 128+07,891 
 042+25,292 
 21+635,548 
  87+68,164 
    2+6,8   
   22+9,31  
 71+515,532 
  85+66,124 
  469+3,967 
492+217,1006
 152+92,280 
  6+325,529 
   5+58,90  
  497+1,795 
  45+97,133 
    2+3,5   
   93+8,47  
  7+438,841 
   52+2,27  
  75+01,67  
  296+4,696 
  3+521,128 
    0+7,7   
 43+144,475 
  3+356,656 
   4+91,23  
  851+3,161 
    3+6,9   
  26+36,125 
 031+01,140 
   51+6,21  
  7+847,755 
   22+4,26  
 076+56,735 
  8+476,682 
   14+5,46  
   42+2,26  
  81+41,32  
    8+0,8   
 69+365,659 
   6+07,76  
    1+0,1   
  28+16,143 
  3+494,497 
 92+673,405 
  65+17,127 
    0+5,5   
   83+0,38  
 911+58,204 
  61+37,89  
   76+7,74  
   8+36,71  
 355+74,600 
491+682,480 
   96+5,74  
  8+631,144 
  3+786,690 
   9+49,103 
   65+4,60  
 38+774,560 
   47+4,78  
 856+42,682 
  407+9,713 
  8+437,742 
  091+2,192 
   8+42,32  
   62+2,28  
 66+178,937 
    0+0,0   
    5+6,11  
  2+487,786 
778+133,1208
 61+953,375 
 28+999,1081
  6+455,560 
   5+37,78  
   0+62,26  
   3+56,68  
    1+1,2   
 928+49,923 
   32+5,28  
  25+73,89  
  352+0,253 
 739+94,986 
  6+862,274 
 75+086,737 
664+003,766 
 974+93,518 
 69+031,226 
977+745,1326
  29+24,134 
  4+195,595 
  731+0,137 
   14+8,49  
 75+359,1010
  199+8,999 
  9+509,914 
    7+3,10  
 584+02,505 
  287+6,788 
 58+478,959 
   6+91,25  
895+058,1448
 95+693,455 
 602+82,234 
705+509,1412
   95+0,59  
  56+21,77  
  84+56,113 
 33+854,491 
   2+17,73  
  63+07,106 
   21+8,20  
  724+7,434 
 46+248,906 
   2+53,37  
937+739,1676
 71+864,485 
   14+3,44  
    2+4,6   
  44+54,89  
    7+4,11  
  81+75,75  
 59+098,985 
 965+26,631 
 066+51,675 
  2+893,400 
   6+25,58  
 906+15,660 
698+119,1807
 45+831,192 
   7+31,20  
   86+0,68  
  69+14,137 
 67+498,970 
 18+593,476 
   5+55,60  
   4+88,92  
  26+88,150 
   1+63,37  
 61+079,986 
  206+7,609 
 05+259,1002
   99+8,107 
    9+0,9   
    8+7,15  
 45+646,700 
 486+59,779 
   7+97,86  
 287+75,839 
 827+26,790 
  1+792,298 
   5+64,51  
    8+1,9   
 74+874,525 
 927+65,785 
   33+6,39  
  325+9,532 
  24+88,130 
 705+02,527 
 265+94,611 
 079+38,1053
  532+8,243 
    3+0,3   
   3+62,29  
   45+8,62  
 807+13,739 
   81+1,19  
  466+7,671 
   2+84,50  
215+081,692 
    5+5,10  
   42+6,30  
783+159,1338
 512+56,280 
163+846,1009
  6+135,537 
 15+451,205 
 66+965,635 
 825+84,576 
   61+4,20  
  3+313,316 
 452+05,304 
  36+95,122 
  2+959,961 
   9+55,64  
  3+492,297 
  74+57,122 
  41+91,33  
   7+14,48  
 859+81,976 
   41+4,18  
  606+2,608 
 274+54,517 
  98+57,164 
 401+67,180 
  8+048,848 
   6+54,51  
  916+3,622 
  887+9,797 
  739+0,937 
   2+33,35  
  93+83,77  
   35+7,60  
995+811,717 
   9+79,106 
 29+834,530 
942+782,536 
   89+5,103 
   4+49,98  
 986+23,721 
  89+79,195 
  89+64,144 
855+435,1092
  1+929,930 
   61+6,22  
  1+612,217 
 72+008,827 
 204+39,495 
 48+963,453 
  1+807,709 
  71+04,57  
   8+82,36  
   2+25,54  
  7+665,573 
 549+61,961 
 556+45,709 
  6+138,837 
851+367,921 
  128+2,823 
  4+942,253 
  17+69,167 
  7+308,810 
   26+1,63  
   6+66,72  
  3+017,713 
 44+137,775 
 562+47,339 
    9+7,16  
361+481,347 
  37+42,97  
  34+23,75  
  49+98,183 
   64+8,54  
  4+936,643 
 79+296,789 
  95+03,89  
   0+38,83  
   38+6,89  
  25+64,98  
  241+9,151 
309+542,1148
  771+4,181 
  785+9,596 
   56+7,72  
   68+4,90  
   15+4,55  
   38+3,86  
 954+97,538 
  78+23,119 
  785+5,592 
  08+99,179 
312+836,851 
   5+44,49  
   69+0,96  
  846+3,651 
    2+7,9   
194+496,1185
    7+7,14  
    9+5,14  
  236+7,639 
 17+517,786 
   8+06,68  
   0+85,58  
  006+5,605 
  1+123,322 
  68+29,178 
 504+69,501 
 75+455,611 
 381+86,251 
 123+62,347 
   89+0,98  
    6+0,6   
    5+3,8   
  9+178,880 
 11+255,563 
    0+4,4   
    4+5,9   
   8+53,43  
 134+04,471 
  3+432,237 
  26+05,112 
 76+811,185 
   3+05,53  
646+435,1180
 52+405,529 
  19+83,129 
  2+916,621 
   95+6,65  
 794+62,523 
  3+886,691 
  4+253,356 
 094+75,547 
    2+1,3   
   23+9,41  
932+837,977 
   73+8,45  
 52+136,656 
  79+64,143 
 82+669,994 
  27+06,132 
659+691,1152
055+771,727 
   3+83,41  
   6+87,84  
   34+9,52  
  885+7,595 
406+461,768 
  33+46,97  
   3+41,17  
   3+58,88  
   67+1,77  
   7+98,96  
  85+69,154 
  315+0,513 
   7+04,47  
 963+87,447 
725+206,1129
  336+3,636 
  812+8,226 
   42+4,28  
   8+52,33  
  55+29,147 
    7+6,13  
319+155,1464
  7+741,154 
  3+308,806 
   58+2,87  
    8+5,13  
  948+2,851 
 381+43,217 
168+586,1546
   42+9,33  
  57+33,108 
   55+3,58  
 616+41,630 
  1+979,980 
   93+2,41  
  3+213,315 
  7+912,226 
   3+96,72  
 88+589,1073
  957+8,767 
  1+707,708 
  4+985,593 
 28+568,947 
    7+5,12  
  3+043,343 
 16+745,608 
  33+82,61  
  0+199,991 
  79+09,187 
 274+31,485 
 883+85,446 
   11+4,15  
   21+9,21  
498+049,1834
415+992,813 
  972+3,282 
  5+534,440 
  76+42,91  
819+529,1843
813+996,1017
 475+17,645 
  773+5,382 
  945+8,557 
 071+23,202 
  6+118,817 
   16+4,65  
  39+21,105 
   57+5,80  
    9+2,11  
  86+87,146 
    4+1,5   
569+747,1712
   82+6,34  
 66+774,543 
   2+66,68  
    9+8,17  
  91+24,61  
  3+741,150 
 338+48,917 
 97+952,338 
  28+87,160 
  554+7,462 
 85+744,505 
 256+05,702 
    6+6,12  
   84+0,48  
  27+22,94  
    2+2,4   
  231+3,135 
  826+3,631 
 718+31,830 
    1+6,7   
  389+1,984 
985+671,765 
 897+53,833 
   5+41,19  
  431+2,136 
  4+521,129 
  61+07,86  
 19+218,903 
  95+64,105 
   7+95,66  
   16+9,70  
  619+1,917 
 55+062,315 
862+536,903 
  57+54,120 
    3+8,11  
   0+45,54  
   7+02,27  
  7+878,885 
086+276,1352
   11+0,11  
  923+4,333 
 889+01,998 
  2+539,937 
 58+523,410 
209+824,1330
 795+96,666 
188+142,1122
715+485,1101
 301+04,143 
   17+5,76  
  2+225,524 
   57+1,76  
   44+1,45  
  95+58,144 
  39+19,184 
   12+4,25  
  47+05,124 
   67+8,84  
 694+93,535 
 454+01,464 
 38+844,531 
  2+762,269 
